name,x,y
Temperature Difference,2015/01/01,3.8
Temperature Difference,2015/01/02,5.1
Temperature Difference,2015/01/03,4.3
Temperature Difference,2015/01/04,4.5
Temperature Difference,2015/01/05,4.8
Temperature Difference,2015/01/06,4.1
Temperature Difference,2015/01/07,5.4
Temperature Difference,2015/01/08,5.1
Temperature Difference,2015/01/09,4.6
Temperature Difference,2015/01/10,6.1
Temperature Difference,2015/01/11,7.4
Temperature Difference,2015/01/12,6.9
Temperature Difference,2015/01/13,7.1
Temperature Difference,2015/01/14,7.9
Temperature Difference,2015/01/15,8
Temperature Difference,2015/01/16,7.5
Temperature Difference,2015/01/17,6.1
Temperature Difference,2015/01/18,7.6
Temperature Difference,2015/01/19,8.9
Temperature Difference,2015/01/20,8.3
Temperature Difference,2015/01/21,8.1
Temperature Difference,2015/01/22,10.3
Temperature Difference,2015/01/23,8.1
Temperature Difference,2015/01/24,7.4
Temperature Difference,2015/01/25,9.9
Temperature Difference,2015/01/26,11.1
Temperature Difference,2015/01/27,10.7
Temperature Difference,2015/01/28,7.7
Temperature Difference,2015/01/29,8.6
Temperature Difference,2015/01/30,7.4
Temperature Difference,2015/01/31,11.4
Temperature Difference,2015/02/01,11.5
Temperature Difference,2015/02/02,10.8
Temperature Difference,2015/02/03,12
Temperature Difference,2015/02/04,11.1
Temperature Difference,2015/02/05,12.3
Temperature Difference,2015/02/06,12.3
Temperature Difference,2015/02/07,11.8
Temperature Difference,2015/02/08,14
Temperature Difference,2015/02/09,15.7
Temperature Difference,2015/02/10,12.5
Temperature Difference,2015/02/11,14.9
Temperature Difference,2015/02/12,12.3
Temperature Difference,2015/02/13,12.4
Temperature Difference,2015/02/14,12.5
Temperature Difference,2015/02/15,12.8
Temperature Difference,2015/02/16,12.8
Temperature Difference,2015/02/17,13.2
Temperature Difference,2015/02/18,10.9
Temperature Difference,2015/02/19,9.7
Temperature Difference,2015/02/20,9.6
Temperature Difference,2015/02/21,9
Temperature Difference,2015/02/22,9.1
Temperature Difference,2015/02/23,8.8
Temperature Difference,2015/02/24,9.8
Temperature Difference,2015/02/25,9.1
Temperature Difference,2015/02/26,8.4
Temperature Difference,2015/02/27,7.4
Temperature Difference,2015/02/28,5.9
Temperature Difference,2015/03/01,5.6
Temperature Difference,2015/03/02,5.5
Temperature Difference,2015/03/03,5.1
Temperature Difference,2015/03/04,6.3
Temperature Difference,2015/03/05,7.1
Temperature Difference,2015/03/06,5.1
